dataset,n,date,constant_multiplier,largest_h_minor_model,smallest_h_separator,separator_size,max_bfs_depth,iterations,first_condition_calls,line11_calls,line11_median_returns,time_elapsed_seconds,search_seconds,final_run_seconds,peak_rss_mb
datasets/San Francisco Road Network's Edges.csv,174956,2026-07-17,100,4,5,1123,585,17,17,0,0,399.279,316.599,82.679,276.5
datasets/social/public_figure_edges.csv,11565,2026-07-17,2,71,72,3871,19,73,72,1,1,748.563,653.914,94.647,198.3
datasets/social/public_figure_edges.csv,11565,2026-07-17,3,72,73,2053,19,73,73,0,0,857.776,763.614,94.162,294.6
datasets/social/public_figure_edges.csv,11565,2026-07-17,5,72,73,2053,19,73,73,0,0,857.146,763.529,93.618,297.4
datasets/social/deezer_europe_edges.csv,28281,2026-07-17,1,50,51,7541,31,52,51,1,1,720.639,610.895,109.744,276.5
datasets/social/public_figure_edges.csv,11565,2026-07-17,10,72,73,2053,19,73,73,0,0,865.864,771.891,93.973,282.0
datasets/social/public_figure_edges.csv,11565,2026-07-17,50,72,73,2053,19,73,73,0,0,860.572,768.181,92.391,276.1
datasets/social/public_figure_edges.csv,11565,2026-07-17,20,72,73,2053,19,73,73,0,0,861.222,767.65,93.572,282.5
datasets/social/public_figure_edges.csv,11565,2026-07-17,100,72,73,2053,19,73,73,0,0,863.029,769.284,93.745,294.1
datasets/usroads.csv,126146,2026-07-17,1,4,5,337,536,1,0,1,1,77.994,71.817,6.177,294.1
datasets/usroads.csv,126146,2026-07-17,2,5,6,2721,913,24,23,1,1,342.516,259.503,83.013,294.1
datasets/social/deezer_europe_edges.csv,28281,2026-07-17,2,69,70,3784,31,52,51,1,0,1155.518,1034.91,120.608,198.3
datasets/usroads.csv,126146,2026-07-17,3,6,7,3234,913,24,24,0,0,416.723,322.719,93.999,294.1
datasets/usroads.csv,126146,2026-07-17,5,6,7,3234,913,24,24,0,0,384.57,299.294,85.271,275.2
datasets/usroads.csv,126146,2026-07-17,10,6,7,3234,913,24,24,0,0,385.199,296.529,88.666,294.1
datasets/social/deezer_europe_edges.csv,28281,2026-07-17,3,79,80,4957,41,81,80,1,0,1689.295,1482.494,206.801,294.6
datasets/usroads.csv,126146,2026-07-17,20,6,7,3234,913,24,24,0,0,424.924,327.609,97.31,275.2
datasets/North America Road Network's Edges.csv,175813,2026-07-17,1,0,1,213,3244,1,0,1,1,15.684,6.527,9.156,275.2
datasets/North America Road Network's Edges.csv,175813,2026-07-17,2,1,2,213,3244,1,0,1,1,22.071,11.686,10.384,275.2
datasets/usroads.csv,126146,2026-07-17,50,6,7,3234,913,24,24,0,0,440.327,327.826,112.452,294.1
datasets/North America Road Network's Edges.csv,175813,2026-07-17,3,1,2,167,4602,2,1,1,1,39.07,21.938,17.131,275.2
datasets/North America Road Network's Edges.csv,175813,2026-07-17,5,3,4,167,4602,2,1,1,1,58.347,47.066,11.281,294.1
datasets/social/deezer_europe_edges.csv,28281,2026-07-17,5,82,83,3885,60,83,83,0,0,1916.641,1672.494,244.147,297.4
datasets/social/deezer_europe_edges.csv,28281,2026-07-17,10,82,83,3885,60,83,83,0,0,1937.412,1689.111,248.3,276.5
datasets/social/deezer_europe_edges.csv,28281,2026-07-17,100,82,83,3885,60,83,83,0,0,1935.907,1724.701,211.205,282.5
datasets/social/deezer_europe_edges.csv,28281,2026-07-17,50,82,83,3885,60,83,83,0,0,1937.504,1725.964,211.539,276.1
datasets/social/deezer_europe_edges.csv,28281,2026-07-17,20,82,83,3885,60,83,83,0,0,1945.325,1733.013,212.309,282.0
datasets/usroads.csv,126146,2026-07-17,100,6,7,3234,913,24,24,0,0,445.09,357.023,88.063,294.6
datasets/North America Road Network's Edges.csv,175813,2026-07-17,10,4,5,1784,4602,29,29,0,0,463.638,331.104,132.531,286.6
datasets/North America Road Network's Edges.csv,175813,2026-07-17,20,4,5,1784,4602,29,29,0,0,582.158,450.078,132.078,294.1
datasets/North America Road Network's Edges.csv,175813,2026-07-17,50,4,5,1784,4602,29,29,0,0,578.916,448.882,130.022,297.4
datasets/North America Road Network's Edges.csv,175813,2026-07-17,100,4,5,1784,4602,29,29,0,0,576.637,448.171,128.466,281.7
datasets/social/musae_facebook_edges.csv,22470,2026-07-17,2,94,95,6539,20,88,87,1,1,2792.435,2486.881,305.554,276.1
datasets/social/musae_facebook_edges.csv,22470,2026-07-17,3,107,108,4569,24,109,109,0,0,3662.248,3150.282,511.964,282.0
datasets/social/musae_facebook_edges.csv,22470,2026-07-17,5,107,108,4569,24,109,109,0,0,3674.784,3170.812,503.972,294.6
